element #,waveln. At elem cent.
561,707.5877913
562,708.2929572
563,708.9990792
564,709.7061613
565,710.4142074
566,711.1232214
567,711.8332072
568,712.5441688
569,713.25611
570,713.9690348
571,714.6829471
572,715.3978509
573,716.11375
574,716.8306484
575,717.54855
576,718.2674587
577,718.9873785
578,719.7083132
579,720.4302668
580,721.1532432
581,721.8772463
582,722.6022801
583,723.3283485
584,724.0554553
585,724.7836046
586,725.5128002
587,726.2430461
588,726.9743461
589,727.7067042
590,728.4401244
591,729.1746105
592,729.9101665
593,730.6467962
594,731.3845037
595,732.1232928
596,732.8631674
597,733.6041316
598,734.3461891
599,735.0893439
600,735.8336
601,736.5789612
602,737.3254315
603,738.0730149
604,738.8217151
605,739.5715362
606,740.3224821
607,741.0745566
608,741.8277638
609,742.5821075
610,743.3375916
611,744.0942201
612,744.8519969
613,745.610926
614,746.3710112
615,747.1322564
616,747.8946656
617,748.6582428
618,749.4229917
619,750.1889164
620,750.9560208
621,751.7243088
622,752.4937843
623,753.2644512
624,754.0363134
625,754.809375
626,755.5836398
627,756.3591116
628,757.1357945
629,757.9136924
630,758.6928092
631,759.4731488
632,760.2547151
633,761.037512
634,761.8215436
635,762.6068136
636,763.393326
637,764.1810848
638,764.9700939
639,765.7603571
640,766.5518784
641,767.3446617
642,768.138711
643,768.9340302
644,769.7306231
645,770.5284938
646,771.3276461
647,772.1280839
648,772.9298113
649,773.732832
650,774.53715
651,775.3427693
652,776.1496937
653,776.9579272
654,777.7674738
655,778.5783372
656,779.3905215
657,780.2040306
658,781.0188683
659,781.8350387
660,782.6525456
661,783.471393
662,784.2915847
663,785.1131247
664,785.936017
665,786.7602654
666,787.5858739
667,788.4128463
668,789.2411867
669,790.0708989
670,790.9019868
671,791.7344544
672,792.5683056
673,793.4035443
674,794.2401745
675,795.0782
676,795.9176248
677,796.7584528
678,797.6006879
679,798.4443341
680,799.2893952
681,800.1358752
682,800.983778
683,801.8331076
684,802.6838678
685,803.5360626
686,804.3896959
687,805.2447716
688,806.1012936
689,806.9592659
690,807.8186924
691,808.679577
692,809.5419236
693,810.4057362
694,811.2710186
695,812.1377748
696,813.0060087
697,813.8757243
698,814.7469254
699,815.619616
700,816.4938
701,817.3694813
702,818.2466639
703,819.1253516
704,820.0055484
705,820.8872582
706,821.7704849
707,822.6552325
708,823.5415049
709,824.4293059
710,825.3186396
711,826.2095098
712,827.1019205
713,827.9958755
714,828.8913788
715,829.7884344
716,830.6870461
717,831.5872179
718,832.4889536
719,833.3922573
720,834.2971328
721,835.203584
722,836.111615
723,837.0212295
724,837.9324315
725,838.845225
726,839.7596138
727,840.6756019
728,841.5931933
729,842.5123917
730,843.4332012
731,844.3556257
732,845.279669
733,846.2053352
734,847.1326281
735,848.0615516
736,848.9921097
737,849.9243063
738,850.8581454
739,851.7936308
740,852.7307664
741,853.6695562
742,854.6100042
743,855.5521141
744,856.49589
745,857.4413358
746,858.3884554
747,859.3372527
748,860.2877316
749,861.239896
750,862.19375
751,863.1492974
752,864.106542
753,865.0654879
754,866.026139
755,866.9884992
756,867.9525724
757,868.9183625
758,869.8858734
759,870.8551092
760,871.8260736
761,872.7987706
762,873.7732042
763,874.7493783
764,875.7272967
765,876.7069634
766,877.6883823
767,878.6715574
768,879.6564926
